file_name,meme_type,hate_type,meme_type2,hate_type2,text
img24.jpg,hate_speech,ddd,0.0,1.0,انا نظري ضعيف ومش هخش الجيش اقسم بالله انت قناص
img28.jpg,hate_speech,gender,0.0,4.0,لما فيمينست تتابع هانتر وتعرف غون بيبحث ابوه ومش عايز يعرف امه
img10.jpg,hate_speech,gender,0.0,4.0,لا أحد النسويات
img7.jpg,hate_speech,gender,0.0,4.0,يعني لو قلعنا الحجاب وتعرينا هنطلع القمر أوماااال
img16.jpg,hate_speech,gender,0.0,4.0,فيمينيست عربية نفسي اطلع اوروبا حرية وتحرر و حرية في الزنا والاجهاض قد كده
img6.jpg,hate_speech,gender,0.0,4.0,الجسد عمره ماكان وصمة عائدا سبب من اسباب التقدم جسدي ثورة مش عورة يا حمدييي
img2.jpg,hate_speech,gender,0.0,4.0,فيمينيست عربيه كنت أعاني من القمع والعادات والعرف في العالم الشرقي حتى ذهبت الى اوروبا وجدت الزنا والاجهاض من الحريات الشخصية
img12.jpg,hate_speech,gender,0.0,4.0,فيمينيست عندكم تحرر ومساواة للمرأة بالرجل
img8.jpg,hate_speech,gender,0.0,4.0,انتا عمال تدعم الفيمينيزم انت تعرف يعنى ايه فيمينيست بص على الكومنتات يا سيد يا اخويا وانت تعرف
img14.jpg,hate_speech,race,0.0,3.0,عندما نجرب الطعام الإفريقي للمرة الأخرى مؤهل
img5.jpg,hate_speech,race,0.0,3.0,لا احد فريق كرة قدم عربي سجل ركلة جزاء
img9.jpg,hate_speech,gender,0.0,4.0,الآن سنرى الجمال الذى يخفيه الحجاب كما تقول الفيمينيزم
img4.jpg,hate_speech,race,0.0,3.0,فيمينيست عندكم تحرر ومساواة للمرأة بالرجل
img31.jpg,only humor,no hate,1.0,,اكتئاب المراة المجتمع اكتئاب الرجل
img15.jpg,hate_speech,gender,0.0,4.0,الحجاب ليس له علاقة بالدين
img32.jpg,hate_speech,gender,0.0,4.0,بالله عليك اذا عرفت ألي أنثى شادة متصدر ملحدة إنسانية ليبرالية نسوية وطنية وفخورة
img3.jpg,hate_speech,gender,0.0,4.0,فيمينيست عربية نفسي اطلع اوروبا حرية وتحرر و حرية في الزنا والاجهاض قد كده
img18.jpg,only humor,no hate,1.0,,معنى فرح شعبى نسى كان يفنى ايه اصلا
img29.jpg,hate_speech,national_origin,0.0,2.0,واحد توفي الصعيد والحكومه راحت تحقق الجريمه ق
img17.jpg,hate_speech,national_origin,0.0,2.0,الوجه العلم
img11.jpg,hate_speech,national_origin,0.0,2.0,اليمنيون حاليا يا يا .. سمب يا شباب الي يعزني يعمله اليمنيون قديما انا غاضب منك هيا نازلني في المعركة
img19.jpg,only humor,no hate,1.0,,معنى فرح شعبى نسى كان يفنى ايه اصلا
img26.jpg,hate_speech,national_origin,0.0,2.0,الشهير فيلمه لله جر ف المالكي
img1.jpg,hate_speech,religion,0.0,0.0,حان وقت العودة للاسلام الوسطى ومحاربة التطرف دانا تغيرت عشانك
img27.jpg,hate_speech,national_origin,0.0,2.0,عندما تقوم بتنزيل أشاوس الزرقاء وتجرب كلمة سر
img33.jpg,hate_speech,religion,0.0,0.0,مسلم كيوت لا تخافوا الكل سيدخل الجنة
img20.jpg,only humor,no hate,1.0,,ملحد مذا الجو حار للغاية استطيع يطيقه انا
img35.jpg,only humor,no hate,1.0,,لما تعمل باسورد الواي فاي قانوني تليفونه وتلاقي الشارع كله معا فاي
img23.jpg,only humor,no hate,1.0,,يسطى انا جاي اجيبلك الولد الي فنشك قولي مكانه
img25.jpg,only humor,no hate,1.0,,ياصاحبي بحاول افتح التلفون ببصمة رتوش راضي يفتح
img30.jpg,only offensive,no hate,2.0,,لما صاحبك يقولك العيال وانت تقوله خال العمال
img34.jpg,only humor,no hate,1.0,,اتمانع لو جلست انها مؤخرتك ضعها حيثما تريد
img22.jpg,only humor,no hate,1.0,,لما الضيوف يقعدوا ساكتين لربك نبعد مولين جماعة ولله
img21.jpg,only humor,no hate,1.0,,لواحد يسألك انت وصغير حافظ ايه تقوله والله احد فيقول سمع سورة الإخلاص
img60.jpg,hate_speech,race,0.0,3.0,العرب ايام الجاهلية
img58.jpg,hate_speech,religion,0.0,0.0,هامان عندما قال له فرعون ان يبني له صرحا ليطلع الى اله موسى
img65.jpg,only humor,no hate,1.0,,تشكيل أهلك للمرة الأف انك ماتحب البامية
img63.jpg,only humor,no hate,1.0,,شركة نصابة بدي اقل قيمتهم شركة زين الو معك شذى من شركة زين كيف بقدر اساعدك
img57.jpg,only humor,no hate,1.0,,اللون ماسك بعد يعرف انه حمودة سيتم كنترول البقعة عمان بده يركب الشريحة عشان يزيد مهاراته حساب عدد الركاب الممكن تحميلهم الواقف دون التأثير على كافة القهوة الي بيده
img51.jpg,only humor,no hate,1.0,,لما تعمل غلط وانت أبوك الشارع
img43.jpg,only humor,no hate,1.0,,بعد سنين أول يوم
img46.jpg,hate_speech,gender,0.0,4.0,لما تسأل فيمينيست او علماني ازاي نتقدم ونبقي زي الغرب الاهتمام بالتعليم ومحاربة الفساد توفير فرص عمل الاهتمام بالصحة الحرية الجنسية منع الحجاب والنقاب القضاء على الدين اغلاق الازهر شرعنة الدعارة السماح بالاجهاض
img36.jpg,only humor,no hate,1.0,,انظر اليه يمشي وسط المطر بلا مظلة
img47.jpg,hate_speech,gender,0.0,4.0,في هذه اللحظة ادرك ابو سمرة ان هناك اشياء اجمل من طيور الجنة
img50.jpg,hate_speech,gender,0.0,4.0,لما تبقى فيمينست ومش عارفه تعملى ايه
img49.jpg,hate_speech,gender,0.0,4.0,انا بنزل صورتي ستوري بتقعد 24 ساعة بقعد بعدها في السرير اسبوع صورتها اللي بتنزلها
img52.jpg,hate_speech,gender,0.0,4.0,فيمينست وواضحة تجيب خدامه للبيت
img37.jpg,hate_speech,national_origin,0.0,2.0,تهامة تفرق الشعب بدون رواتب البنية التحتية تنهارالحوثيون يحتفلون بيوم الغدير
img59.jpg,hate_speech,national_origin,0.0,2.0,عندما تخبر موري قومي عن أمجاد بطل مسلم ثم تخبره انه تركي
img45.jpg,hate_speech,national_origin,0.0,2.0,أرني أكبر عدو قلت اكبر عدو مثالي
img41.jpg,hate_speech,national_origin,0.0,2.0,دكاترة اليمن مغص طبيعي فيك سرطان
img62.jpg,hate_speech,national_origin,0.0,2.0,الحو المرتبات هادي لأنه أخذ البنك هادي واللي جاب العدوان العدوان مسوي حصار خانق اليمن فكوا الحصار اليمن اسمحوا بدخول بواخر النفط العالقة الحوثة أيضا بعدك أزمة بترول
img54.jpg,hate_speech,national_origin,0.0,2.0,فراولة اشي هيك  شو يعرفني انا  من الزرقاء
img44.jpg,hate_speech,religion,0.0,0.0,عندما تعلم ان السحاب هو ما ينزل المطر وليس الله كما يدعي الاسلاميون
img64.jpg,hate_speech,religion,0.0,0.0,لما يموت واحد مسيحى وهو كافر أصلا
img70.jpg,hate_speech,national_origin,0.0,2.0,دولة جديدة تقرر التطبيع اسرائيل عرب
img39.jpg,hate_speech,religion,0.0,0.0,واحد لا ندري ملته النقاب يطمس شخصيتك ولا وجود له في الاسلام وهو عادة جاهلية لا توجد اية او حديث تدعو النساء للنقاب انا لست مسلمة ان يهودية انتمي لقبيلة اليهود الحريديم والنقاب عادة عنا انا اسف سيدتي اعتذر لك الحرية في ارتداء ما تريدين
img61.jpg,hate_speech,religion,0.0,0.0,المسلمين الكيوت تخلف شذوذ نفاق نفس الأوصاف بالاعلى لكن باللون الأزرق
img56.jpg,hate_speech,religion,0.0,0.0,لا احد والله لا احد الشيعة في عاشوراء
img67.jpg,only humor,no hate,1.0,,لما تمسك موبايل أمك تشو الساعة كام يبوظ بعدها بسنتين أمك
img66.jpg,only humor,no hate,1.0,,لما ابقي راكب عربية وأسند راسي إزاز الشباك
img69.jpg,hate_speech,religion,0.0,0.0,واشرب تمور وحليب
img53.jpg,hate_speech,religion,0.0,0.0,عندما تكون قائد جيش مكون من 200000 صليبي وتهزم من 2000 مجاهد فقط أصلا انتم هكر
img55.jpg,only humor,no hate,1.0,,الماء سائل ليس لون وطعم رائحة
img42.jpg,hate_speech,national_origin,0.0,2.0,ميرور بريطاني توفي بمصر وعادت جثتة بدون قلب
img48.jpg,only humor,no hate,1.0,,هجوم باريس هجوم البايرن دفاع الفريقين
img68.jpg,only humor,no hate,1.0,,عملت أكل لنفسك وحريته السفره خلاص ودخلت المطبخ تجيب حاجه القطه
img40.jpg,only humor,no hate,1.0,,شاب في سن ال 20 حد يجي يشيل قصادي التربيزة دي ست عندها خمسين سنة
img38.jpg,only humor,no hate,1.0,,صديقك الكتاب اتولد ازاى
img81.jpg,hate_speech,national_origin,0.0,2.0,انت لو سمحت النت بطيئ موظف اي شركة نت اردنية : جربت تفصل المودم وتضويه انت اه جربت الموظف  بعد ما خلصت افكاره
img100.jpg,hate_speech,national_origin,0.0,2.0,الولد علا صوته على ابوه بالغلط بمسلسل خليجي الأب
img104.jpg,only offensive,no hate,2.0,,لعا العرس يطرد الحصة يقولك اطلع اقف جنب الزبالة تروح تقف جنب
img78.jpg,hate_speech,gender,0.0,4.0,مسلم قاعد بأمان الله نسوية معاقة ذهنيا الغرب تعالي يا مزة هنا ايه الحلاوة دي يلعن ميتين شكلك مجتمع متحرش ابن كلب
img105.jpg,hate_speech,gender,0.0,4.0,نسوية الحجاب يؤذي جسد المرأة
img94.jpg,hate_speech,race,0.0,3.0,الواحد صيني يبقى بيعمل شوربة خضار ويلاقي فار ماشي السقف ويقع الحلة بالغلط
img84.jpg,hate_speech,national_origin,0.0,2.0,الهنود الان 2 روبي واعملك غرر على كل بوستات احمد سبيع انا وقبيلتي الهنود سابقا هؤلاء المسلمين فتحوا مدينتنا لكنهم اناس صالحون وعادلون سنطلع على دينهم لحله يكون الحق
img77.jpg,hate_speech,national_origin,0.0,2.0,اهداف الثورة اليمنية اهداف بلا هدف
